Code,Bin
AFG,8
ALB,1
DZA,3
AGO,2
ARG,2
BGD,4
BEN,4
BTN,2
BWA,2
BRA,6
BFA,4
BDI,3
KHM,7
CMR,4
CAN,1
CPV,2
CAF,3
TCD,3
CHN,8
COL,2
COG,2
CIV,3
COD,4
DOM,2
EGY,6
SLV,3
GNQ,2
SWZ,2
ETH,4
FIN,1
FRA,1
GAB,3
GMB,2
GHA,5
GTM,3
GIN,3
GNB,3
HTI,4
HND,2
IND,10
IDN,4
IRN,3
IRQ,5
ISR,2
JOR,1
KEN,6
KWT,2
LAO,6
LBN,2
LSO,3
LBR,2
LBY,2
MDG,3
MWI,4
MYS,2
MLI,5
MRT,4
MEX,5
MNG,2
MAR,3
MOZ,3
MMR,4
NPL,3
NER,5
NGA,7
OMN,3
PAK,8
PNG,2
PRY,2
PER,3
PHL,6
QAT,1
RWA,2
SAU,3
SEN,4
SRB,1
SLE,3
SOM,2
ZAF,4
ESP,2
LKA,2
SDN,5
SYR,3
TZA,6
THA,3
TGO,3
TUN,3
TUR,4
ARE,2
GBR,2
USA,2
VEN,2
VNM,8
OWID_WRL,10
YEM,6
ZMB,4
ZWE,3
