bin,edge_max,height_m,color_hex
0,,0.0,#00000000
1,10,0.025,#FFFF00
2,100,0.05,#FFE600
3,500,0.075,#FFCC00
4,1000,0.1,#FFB300
5,2000,0.125,#FF9900
6,5000,0.15,#FF8000
7,10000,0.175,#FF6600
8,25000,0.2,#FF4D00
9,100000,0.225,#FF3300
10,270000,0.25,#FF0000
