Code,Bin
AFG,8
DZA,3
AGO,3
AUS,1
BGD,5
BEN,4
BTN,2
BOL,2
BWA,2
BRA,6
BFA,4
BDI,3
KHM,6
CMR,4
CPV,2
CAF,4
TCD,2
CHL,2
CHN,8
COL,3
COG,2
CIV,3
COD,4
DOM,2
ECU,3
EGY,6
SLV,2
GNQ,1
SWZ,2
ETH,5
FRA,2
GAB,2
GMB,6
DEU,2
GHA,3
GTM,3
GIN,2
GNB,2
HTI,2
HND,2
IND,10
IDN,3
IRN,3
IRQ,4
JOR,2
KEN,4
LAO,5
LBN,2
LSO,3
LBR,2
LBY,3
MDG,3
MWI,4
MLI,6
MRT,4
MEX,3
MNG,2
MAR,2
MOZ,2
MMR,4
NRU,1
NPL,2
NER,3
NGA,6
OMN,2
PAK,6
PNG,3
PER,3
PHL,6
RWA,3
SAU,2
SEN,5
SRB,2
SLE,2
SOM,1
ZAF,3
LKA,2
SDN,5
SYR,3
TZA,5
THA,4
TGO,3
TUN,2
TUR,3
ARE,2
USA,2
VEN,3
VNM,7
OWID_WRL,10
YEM,6
ZMB,4
ZWE,4
