Code,Bin
ALB,1
DZA,1
AGO,5
AZE,3
BHR,2
BGD,5
BLR,1
BEN,3
BFA,2
BDI,2
KHM,4
CMR,3
CAF,2
CHN,6
COD,3
EGY,5
ETH,4
GHA,3
GIN,3
IND,9
IDN,2
IRN,4
IRQ,4
KAZ,1
KEN,2
LAO,2
LBR,2
MDG,3
MLI,3
MRT,3
MDA,1
MNG,2
MOZ,1
MMR,3
NAM,3
NPL,2
NLD,2
NER,3
NGA,7
OMN,2
PAK,8
PHL,3
ROU,2
RUS,2
RWA,2
SAU,2
SEN,2
SRB,2
SLE,2
LKA,3
SDN,5
TJK,2
TZA,1
THA,2
TGO,2
TUR,3
TKM,2
UKR,2
GBR,1
UZB,3
VNM,6
OWID_WRL,9
YEM,3
ZMB,6
