Code,Bin
AFG,8
DZA,4
ARG,3
BGD,4
BEL,1
BEN,3
BOL,2
BWA,2
BRA,3
BGR,1
BFA,4
BDI,3
KHM,4
CMR,5
CPV,3
CAF,3
TCD,3
CHN,8
COL,3
COM,2
COG,3
CIV,2
COD,5
DNK,1
DOM,2
ECU,2
EGY,7
SLV,4
SWZ,3
ETH,4
FRA,2
GAB,2
DEU,2
GHA,5
GTM,5
GIN,2
GNB,2
HTI,4
HND,2
HUN,1
IND,10
IDN,3
IRN,4
IRQ,5
ISR,2
ITA,1
JOR,2
KEN,5
KWT,2
LAO,3
LBN,3
LSO,3
LBR,2
LBY,3
MDG,4
MWI,2
MYS,2
MLI,3
MRT,3
MEX,5
MNG,3
MAR,3
MOZ,3
MMR,5
NPL,3
NLD,1
NER,5
NGA,6
OMN,3
PAK,7
PNG,2
PRY,2
PER,5
PHL,6
POL,2
ROU,3
RWA,3
STP,2
SAU,4
SEN,5
SRB,2
SLE,3
SGP,2
SOM,3
ZAF,4
KOR,2
ESP,3
LKA,3
SDN,4
SYR,3
TZA,4
THA,5
TGO,3
TUN,2
TUR,5
UGA,4
ARE,2
GBR,2
USA,3
VEN,2
VNM,7
OWID_WRL,10
YEM,6
ZMB,5
ZWE,2
