Code,Bin
AFG,1
DZA,1
BEN,2
BDI,1
CMR,1
CAF,1
TCD,2
COG,1
COD,4
ERI,1
ETH,1
GHA,1
IDN,1
ISR,1
MDG,2
MWI,1
MLI,1
MOZ,2
NER,2
NGA,2
PAK,2
SOM,1
SDN,1
TGO,1
USA,1
OWID_WRL,4
YEM,3
