Code,Bin
AFG,1
BEN,1
BFA,1
BDI,1
CAF,2
TCD,2
CIV,1
COD,3
GIN,2
IDN,1
ISR,1
KEN,1
MDG,2
MLI,2
MRT,1
MOZ,1
NER,1
NGA,2
PAK,1
SOM,1
SSD,1
TZA,1
OWID_WRL,4
YEM,1
ZMB,1
ZWE,1
