Code,Bin
AFG,5
DZA,2
AGO,7
BGD,6
BEN,3
BFA,2
BDI,1
CMR,1
CAF,3
TCD,4
CHN,1
COG,2
CIV,2
COD,3
DJI,1
EGY,2
GNQ,1
ERI,2
ETH,4
GHA,2
GIN,3
IND,8
IDN,3
IRN,2
IRQ,4
KEN,5
LBR,3
MLI,3
MRT,2
MMR,3
NAM,2
NPL,3
NER,3
NGA,7
PAK,6
RWA,3
SLE,2
SOM,3
ZAF,2
SDN,3
SYR,1
THA,3
TGO,1
OWID_WRL,9
YEM,3
ZMB,3
ZWE,2
