Code,Bin
AFG,2
AGO,1
CAF,1
TCD,3
CHN,2
COG,1
CIV,2
COD,3
GAB,1
GIN,1
IND,1
KEN,1
MLI,1
MOZ,1
NER,1
NGA,2
PAK,3
SOM,1
OWID_WRL,4
YEM,1
