Code,Bin
AFG,2
ALB,1
ARM,2
AZE,3
BGD,6
BEN,3
BGR,3
BFA,3
BDI,2
KHM,4
CMR,4
CAF,2
CHN,6
COL,2
CYP,1
COD,3
EGY,6
GNQ,2
ETH,4
GMB,1
GEO,2
DEU,2
GHA,3
GIN,5
IND,9
IDN,5
IRN,3
IRQ,5
JOR,2
KAZ,2
KEN,2
KGZ,2
LAO,2
LBN,2
LBY,2
MDG,2
MWI,2
MLI,5
MRT,3
MDA,2
MNG,1
MOZ,2
MMR,3
NPL,2
NER,3
NGA,7
OMN,2
PAK,7
PER,1
PHL,2
ROU,3
RUS,3
SAU,1
SEN,2
SRB,2
SLE,3
LKA,1
SDN,3
SYR,3
TJK,4
TZA,2
THA,2
TGO,3
TUN,2
TKM,3
UGA,3
UKR,2
GBR,2
UZB,3
VNM,6
OWID_WRL,9
YEM,3
