Code,lon,lat,x_norm,y_norm
ABW,-69.972795,12.5174,0.305631125,0.4304588888888889
AFG,66.496586,34.164262,0.6847127388888888,0.31019854444444445
AGO,17.984249,-12.182762,0.5499562472222222,0.567682011111111
AIA,-63.026361,18.242979,0.324926775,0.3986501166666667
ALA,19.869671,60.156467,0.5551935305555555,0.16579740555555555
ALB,20.11384,40.654855,0.5558717777777779,0.27413969444444447
AND,1.539409,42.547643,0.5042761361111111,0.26362420555555555
ARE,54.547256,23.466285,0.6515201555555555,0.36963175
ARG,-64.173331,-33.501159,0.32174074722222223,0.68611755
ARM,44.800564,40.459077,0.6244460111111111,0.27522735
ASM,-170.747153,-14.32671,0.025702352777777784,0.5795928333333333
ATA,35.885455,-79.843222,0.5996818194444444,0.9435734555555555
ATF,69.122136,-49.303721,0.6920059333333334,0.7739095611111111
ATG,-61.790612,17.352249,0.3283594111111111,0.4035986166666667
AUS,134.04972,-24.129522,0.8723603333333333,0.6340529
AUT,14.130515,47.518859,0.5392514305555556,0.2360063388888889
AZE,47.210994,40.402387,0.63114165,0.27554229444444445
BDI,29.917086,-3.332836,0.5831030166666668,0.5185157555555555
BEL,4.800448,50.785392,0.5133345777777778,0.21785893333333334
BEN,2.352018,10.324775,0.5065333833333333,0.44264013888888887
BFA,-1.36388,12.673048,0.4962114444444445,0.4295941777777778
BGD,89.684963,24.214956,0.7491248972222222,0.36547246666666666
BGR,25.15709,42.508785,0.5698808055555555,0.2638400833333333
BHR,50.554816,26.055972,0.6404300444444445,0.3552446
BHS,-77.146688,26.401789,0.28570364444444446,0.35332339444444444
BIH,18.06841,44.091051,0.5501900277777778,0.25504971666666665
BLM,-62.833193,17.901987,0.32546335277777777,0.40054451666666674
BLR,28.417701,53.821888,0.5789380583333333,0.2009895111111111
BLZ,-88.712962,17.202068,0.25357510555555557,0.4044329555555556
BMU,-64.763573,32.296592,0.3201011861111111,0.3205744888888889
BOL,-64.593433,-16.666015,0.32057379722222223,0.5925889722222222
BRA,-49.55945,-12.098687,0.36233486111111113,0.5672149277777778
BRB,-59.568966,13.163709,0.33453065,0.4268682833333334
BRN,114.551943,4.448298,0.8181998416666667,0.4752872333333334
BTN,90.040294,27.536685,0.7501119277777778,0.34701841666666666
BWA,24.179216,-22.102634,0.5671644888888889,0.622792411111111
CAF,20.906897,6.989681,0.558074713888889,0.46116843888888887
CAN,-101.9107,60.324287,0.21691472222222222,0.16486507222222224
CHE,7.463965,46.719114,0.5207332361111111,0.2404493666666667
CHL,-72.318871,-38.151771,0.29911424722222224,0.7119542833333333
CHN,106.337289,32.498178,0.7953813583333333,0.31945456666666666
CIV,-5.568618,7.49139,0.4845316166666667,0.4583811666666667
CMR,12.473488,4.585041,0.5346485777777777,0.47452754999999996
COD,23.458829,-1.858167,0.5651634138888889,0.51032315
COG,15.9005,0.142331,0.5441680555555556,0.4992092722222222
COK,-159.785675,-21.215993,0.05615090277777778,0.6178666277777778
COL,-73.174347,3.373111,0.296737925,0.48126049444444446
COM,43.318094,-11.727683,0.6203280388888889,0.5651537944444445
