Code,Bin
AFG,6
DZA,3
AGO,3
BGD,4
BEN,4
BOL,2
BWA,1
BRA,5
BFA,3
BDI,2
KHM,6
CMR,3
CPV,2
CAF,3
CHN,7
COL,4
COG,1
CIV,3
COD,4
DJI,1
DOM,1
ECU,2
EGY,6
SLV,3
GNQ,2
SWZ,2
ETH,6
FRA,1
GAB,3
GMB,3
GHA,4
GTM,3
GIN,3
GNB,2
HTI,2
HND,2
IND,10
IDN,7
IRN,3
IRQ,3
ISR,2
KEN,2
LAO,6
LSO,2
LBR,2
LBY,3
MDG,3
MWI,3
MLI,5
MHL,1
MRT,3
MEX,4
MAR,2
MOZ,1
MMR,3
NPL,2
NER,3
NGA,6
PRK,3
OMN,2
PAK,7
PNG,2
PER,3
PHL,6
PRT,1
RWA,3
SAU,2
SEN,4
SLE,2
SOM,3
ZAF,3
ESP,2
LKA,4
SDN,4
SYR,3
TZA,6
THA,3
TGO,4
TUN,3
TUR,2
VEN,3
VNM,8
OWID_WRL,10
YEM,5
ZMB,3
ZWE,2
