Code,Bin
AFG,1
BEN,1
BWA,1
BFA,1
CMR,2
CAF,2
TCD,2
CHN,1
CIV,2
EGY,1
ETH,1
GIN,1
IND,3
MLI,2
NER,2
NGA,4
PAK,2
SAU,1
SDN,3
OWID_WRL,7
