Code,Bin
AFG,7
ALB,1
DZA,4
AGO,2
ARG,2
BHR,2
BGD,4
BEN,5
BOL,2
BWA,1
BRA,4
BFA,4
BDI,4
KHM,6
CMR,6
CPV,2
CAF,5
CHN,9
COL,6
COG,3
CIV,3
COD,5
DNK,1
DJI,3
DOM,4
ECU,2
EGY,8
SLV,3
ETH,3
FRA,2
GAB,2
DEU,3
GHA,4
GRC,2
GTM,3
GIN,3
GNB,3
HTI,3
HND,3
HUN,1
IND,10
IDN,7
IRN,5
IRQ,6
ISR,2
ITA,1
JPN,2
JOR,1
KEN,5
KWT,2
LBN,1
LSO,3
LBR,2
LBY,3
MDG,3
MWI,3
MYS,1
MLI,5
MRT,2
MEX,5
MAR,3
MOZ,3
MMR,6
NPL,2
NLD,1
NIC,3
NER,5
NGA,6
NOR,1
OMN,3
PAK,9
PNG,2
PRY,3
PER,5
PHL,6
POL,1
QAT,2
ROU,4
RWA,3
STP,2
SAU,5
SEN,5
SLE,3
ZAF,4
KOR,2
ESP,2
LKA,5
SDN,3
CHE,2
SYR,5
TZA,3
THA,5
TGO,5
TUN,3
TUR,5
UGA,4
ARE,3
GBR,2
USA,2
VUT,1
VEN,3
VNM,6
OWID_WRL,10
YEM,6
ZMB,6
ZWE,3
