Code,Bin
AFG,3
AGO,3
BGD,5
BEN,2
BWA,2
BFA,2
KHM,2
CMR,3
CAF,2
TCD,6
CIV,2
COD,4
EGY,2
ERI,3
ETH,3
GMB,1
GHA,3
GIN,2
GNB,1
IND,8
IDN,6
IRN,2
IRQ,3
KEN,2
MDG,2
MWI,2
MLI,2
MRT,2
MOZ,2
MMR,3
NAM,2
NPL,2
NER,3
NGA,6
PAK,7
SEN,2
SOM,1
SDN,3
TJK,1
TZA,2
THA,3
TGO,2
TUR,2
UGA,3
VNM,1
OWID_WRL,9
ZMB,2
ZWE,2
