Code,Bin
AFG,6
DZA,2
BGD,6
BEN,3
BTN,3
BOL,1
BRA,4
BFA,3
BDI,2
KHM,4
CMR,4
CAN,2
CPV,2
CAF,3
CHN,6
COL,3
COG,1
CIV,3
COD,4
DJI,2
DOM,1
ECU,2
EGY,6
SLV,2
SWZ,2
ETH,4
FRA,1
GAB,2
GMB,2
GHA,3
GTM,3
GIN,5
GNB,2
HTI,2
HND,2
IND,10
IDN,7
IRN,3
IRQ,3
ISR,3
ITA,1
JOR,2
KEN,8
LAO,5
LBR,2
LBY,2
MDG,3
MWI,2
MLI,4
MRT,3
MEX,3
MNG,1
MOZ,2
MMR,3
NPL,2
NER,3
NGA,8
PRK,2
OMN,3
PAK,7
PNG,3
PRY,2
PER,3
PHL,6
RWA,2
SAU,2
SEN,3
SLE,2
SOM,3
ZAF,5
ESP,2
LKA,3
SDN,4
SYR,3
TZA,2
THA,2
TGO,3
TUN,2
TUR,3
UGA,3
ARE,2
GBR,1
VEN,3
VNM,7
OWID_WRL,10
YEM,4
ZMB,4
ZWE,2
