Code,Bin
AFG,7
ALB,1
DZA,4
AGO,3
ARG,3
AUT,1
BHR,2
BGD,3
BEL,1
BLZ,2
BEN,5
BTN,2
BOL,3
BWA,1
BRA,7
BGR,3
BFA,5
BDI,3
KHM,6
CMR,5
CPV,3
CAF,3
CHN,9
COL,4
COM,2
COG,4
CIV,3
COD,5
DOM,5
ECU,2
EGY,8
SLV,3
SWZ,5
ETH,5
FRA,2
GAB,3
GMB,1
DEU,2
GHA,5
GTM,6
GIN,3
GNB,2
HTI,3
HND,2
HUN,1
IND,10
IDN,5
IRN,4
IRQ,7
IRL,1
ISR,2
ITA,1
JPN,2
JOR,3
KEN,6
KWT,3
LAO,7
LSO,3
LBR,4
LBY,3
MDG,3
MWI,3
MYS,2
MDV,1
MLI,5
MRT,5
MEX,6
MAR,3
MOZ,3
MMR,5
NPL,3
NIC,3
NER,6
NGA,7
OMN,3
PAK,8
PNG,3
PRY,2
PER,5
PHL,6
POL,2
QAT,2
ROU,4
RWA,3
STP,2
SAU,5
SEN,4
SRB,2
SLE,2
SGP,1
ZAF,4
KOR,2
ESP,3
LKA,5
SDN,9
CHE,1
SYR,6
TZA,4
THA,6
TGO,5
TUN,3
TUR,5
UGA,3
ARE,3
GBR,2
USA,2
VUT,2
VEN,2
VNM,8
OWID_WRL,10
YEM,7
ZMB,5
ZWE,3
