Code,Bin
DZA,1
ARM,1
AZE,3
BGD,5
BLR,1
BEN,4
BFA,2
BDI,2
KHM,5
CMR,3
CAF,2
CHN,5
COD,2
DJI,2
EGY,6
GNQ,1
ETH,4
GMB,2
DEU,2
GHA,3
GIN,3
IND,9
IDN,4
IRN,3
IRQ,4
JOR,3
KAZ,2
KGZ,2
LAO,2
MDG,3
MYS,2
MLI,3
MRT,3
MDA,1
MNG,1
MOZ,2
MMR,3
NPL,2
NLD,3
NER,3
NGA,7
NOR,1
PAK,7
PHL,2
ROU,3
RUS,2
RWA,2
SAU,2
SEN,2
SRB,2
SLE,2
LKA,2
SDN,2
SWE,1
SYR,3
TJK,2
TZA,2
THA,2
TGO,2
TUN,2
TKM,2
UGA,3
UKR,2
ARE,2
GBR,2
UZB,2
VNM,6
OWID_WRL,10
YEM,3
ZMB,2
