Code,Bin
AFG,7
DZA,3
AGO,2
ARG,2
BGD,6
BEN,4
BOL,2
BWA,2
BRA,3
BGR,1
BFA,4
BDI,3
KHM,7
CMR,5
CPV,2
CAF,3
CHN,9
COL,4
COG,2
CIV,3
COD,6
DJI,3
DOM,3
ECU,2
EGY,8
SLV,3
SWZ,3
ETH,5
FRA,2
GAB,3
DEU,2
GHA,4
GRC,2
GTM,4
GIN,4
GNB,5
HTI,3
HND,2
IND,10
IDN,5
IRN,5
IRQ,6
IRL,1
ISR,2
ITA,2
JAM,3
JPN,1
JOR,2
KEN,5
KWT,2
LAO,3
LSO,3
LBR,2
LBY,5
MDG,3
MWI,3
MYS,2
MLI,4
MRT,3
MEX,4
MNG,4
MAR,4
MOZ,3
MMR,6
NPL,3
NER,5
NGA,6
NOR,1
OMN,4
PAK,8
PNG,3
PRY,4
PER,5
PHL,6
POL,2
PRT,1
QAT,2
ROU,3
RWA,3
STP,2
SAU,4
SEN,5
SRB,2
SLE,3
SGP,1
ZAF,6
KOR,2
ESP,3
LKA,4
SDN,4
SUR,1
CHE,1
SYR,5
TZA,3
THA,5
TGO,5
TUN,2
TUR,5
UGA,3
ARE,3
GBR,2
USA,2
VUT,2
VEN,3
VNM,7
OWID_WRL,10
YEM,5
ZMB,5
ZWE,2
