Code,Bin
AFG,1
AGO,2
KHM,1
CMR,1
TCD,1
ERI,1
ETH,2
IND,2
IDN,3
MDG,1
MLI,1
NPL,1
NER,2
NGA,4
PAK,2
SOM,3
SDN,2
OWID_WRL,8
YEM,4
