Code,Bin
AFG,2
AGO,3
BEN,1
BFA,1
CAF,2
TCD,2
CHN,1
COD,2
ETH,2
GHA,2
MYS,1
MMR,1
NER,1
NGA,2
PAK,3
PHL,2
SOM,1
TGO,1
OWID_WRL,4
YEM,1
ZMB,1
