Code,Bin
AFG,6
DZA,4
AGO,2
ARG,1
BGD,4
BEN,3
BTN,2
BWA,2
BRA,4
BGR,1
BFA,4
BDI,3
KHM,7
CMR,4
CAN,1
CPV,2
CAF,5
TCD,2
CHN,8
COL,3
COG,2
CIV,2
COD,4
DJI,5
EGY,7
SLV,3
GNQ,3
SWZ,3
ETH,4
FIN,2
FRA,2
GAB,3
DEU,2
GHA,5
GTM,3
GIN,3
GNB,2
HTI,3
HND,3
HUN,1
IND,10
IDN,4
IRN,4
IRQ,5
ISR,1
ITA,1
JOR,1
KEN,4
LAO,2
LBN,2
LSO,3
LBR,2
LBY,2
MDG,3
MWI,3
MYS,2
MLI,4
MRT,4
MEX,4
MNG,2
MAR,3
MOZ,3
MMR,5
NPL,4
NLD,1
NER,5
NGA,6
OMN,3
PAK,6
PNG,3
PRY,2
PER,4
PHL,6
POL,2
ROU,3
RWA,2
SAU,4
SEN,4
SRB,2
SLE,3
SGP,2
SOM,3
ZAF,3
ESP,2
LKA,3
SDN,4
CHE,1
SYR,3
TZA,4
THA,4
TGO,3
TUN,3
TUR,4
UGA,3
ARE,3
GBR,2
USA,2
VEN,2
VNM,7
OWID_WRL,10
YEM,7
ZMB,5
ZWE,2
