Code,Bin
AFG,2
DZA,1
AGO,1
BGR,1
DOM,1
EGY,1
ETH,1
GEO,1
HTI,2
IND,4
MDG,1
MRT,1
NER,1
NGA,3
PAK,3
PHL,1
SOM,2
SDN,1
OWID_WRL,6
ZMB,1
