Code,Bin
AFG,2
AGO,2
BEN,2
BFA,2
BDI,1
CMR,1
CAF,2
TCD,2
CIV,2
COD,1
ETH,1
GIN,2
IND,4
KEN,2
LBR,2
MLI,1
MRT,2
NER,2
NGA,4
PAK,2
SLE,2
SOM,1
SDN,2
TGO,1
UGA,1
OWID_WRL,8
