ISO_A3,LONGITUDE,LATITUDE,NAME
NGA,7.50322,9.439799,Nigeria
NIC,-85.069347,12.670697,Nicaragua
NIU,-169.862565,-19.045956,Niue
NLD,5.61144,52.422211,Netherlands
NPL,83.639914,28.297925,Nepal
NRU,166.932644,-0.520261,Nauru
NZL,172.787,-39.759,New Zealand
OMN,57.336553,22.120427,Oman
PAK,68.545632,29.328389,Pakistan
PAN,-80.352106,8.72198,Panama
PCN,-128.317536,-24.364576,Pitcairn Is.
PER,-72.90016,-12.976679,Peru
PHL,122.465,11.198,Philippines
PLW,134.580157,7.518252,Palau
PNG,143.910216,-5.695285,Papua New Guinea
POL,19.490468,51.990316,Poland
PRI,-66.481065,18.234668,Puerto Rico
PRK,126.444516,39.885252,North Korea
PRT,-8.271754,39.606675,Portugal
PRY,-60.146394,-21.674509,Paraguay
PSE,35.291341,32.047431,Palestine
PYF,-149.46157,-17.628081,Fr. Polynesia
QAT,51.143509,25.237383,Qatar
ROU,24.972624,45.733237,Romania
RUS,44.686469,58.249357,Russia
RWA,30.103894,-1.897196,Rwanda
SAU,44.6996,23.806908,Saudi Arabia
SDN,29.260657,16.330746,Sudan
SEN,-14.778586,15.138125,Senegal
SGP,103.816925,1.366587,Singapore
SGS,-31.063179,-55.683402,S. Geo. and the Is.
SHN,-5.71262,-15.950487,Saint Helena
SLB,159.170468,-8.029548,Solomon Is.
SLE,-11.763677,8.617449,Sierra Leone
SLV,-88.890124,13.685371,El Salvador
SMR,12.441206,43.933916,San Marino
SOM,45.19238,3.568925,Somalia
SPM,-56.332352,47.040344,St. Pierre and Miquelon
SRB,20.787989,44.189919,Serbia
SSD,30.390151,7.230477,S. Sudan
STP,7.021,0.9709,São Tomé and Principe
SUR,-55.91094,4.143987,Suriname
SVK,19.049868,48.734044,Slovakia
SVN,14.915312,46.06076,Slovenia
SWE,19.01705,65.85918,Sweden
SWZ,31.467264,-26.533676,eSwatini
SXM,-63.070133,18.04088,Sint Maarten
SYC,55.480175,-4.676659,Seychelles
SYR,38.277783,35.006636,Syria
TCA,-71.752704,21.81663,Turks and Caicos Is.
TCD,18.645041,15.142959,Chad
TGO,1.058113,8.80722,Togo
THA,101.073198,15.45974,Thailand
TJK,72.587276,38.199835,Tajikistan
TKM,58.676647,39.855246,Turkmenistan
TLS,125.854679,-8.803705,Timor-Leste
TON,-175.163014,-21.210026,Tonga
TTO,-60.9184,10.9989,Trinidad and Tobago
TUN,9.007881,33.687263,Tunisia
TUR,34.508268,39.345388,Turkey
TUV,179.209587,-8.513717,Tuvalu
TWN,120.868204,23.652408,Taiwan
TZA,34.959183,-6.051866,Tanzania
UGA,32.948555,1.972589,Uganda
UKR,32.140865,49.724739,Ukraine
UMI,166.644535,19.285663,U.S. Minor Outlying Is.
URY,-55.966942,-32.961127,Uruguay
USA,-97.482602,39.538479,United States of America
UZB,64.005429,41.693603,Uzbekistan
VAT,12.453418,41.903323,Vatican
VCT,-61.3359,13.0879,St. Vin. and Gren.
VEN,-64.599381,7.182476,Venezuela
VGB,-64.63661,18.426606,British Virgin Is.
VIR,-64.779172,17.746706,U.S. Virgin Is.
VNM,105.387292,21.715416,Vietnam
VUT,166.908762,-15.37153,Vanuatu
WLF,-178.137436,-14.286415,Wallis and Futuna Is.
WSM,-172.438241,-13.639139,Samoa
YEM,45.874383,15.328226,Yemen
ZAF,23.665734,-29.708776,South Africa
ZMB,26.395298,-14.660804,Zambia
ZWE,29.925444,-18.91164,Zimbabwe
